ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
88,KACANIK,Supply,Unknown,KA652/11/33/121,Furnizim me vetura per nevojat e SHCK-se,2011,AUTO LAMI NTP,Lipjani,6-Sep-11,Not Provided,49300,Not Provided,49300,N/A,Not Applicable
89,KACANIK,Jobs,Unknown,KA652/11/45/536,"Ndertimi I disa punimeve ne objektin e xhveshtores per KF ""LEPENCI""",2011,LINDA SHPK,Ferizaj,6-Sep-11,Not Provided,9973.37,Not Provided,9973.37,N/A,Not Applicable
90,KACANIK,Services,Unknown,KA652/11/40/521,Hartimi I projektit per rehabilitimin e kulmit ne shtepin e kultures ne Kacanik,2011,EUP ENGEENERING NS,Kacanik,8-Sep-11,Not Provided,2500,Not Provided,2500,N/A,Not Applicable
91,KACANIK,Jobs,Unknown,KA652/11/42/536,"Ndertimi I murit mbrojtes rreth rruges magjistrale te stadiumit te qytetit ""Besnik Beguca""- Kacanik",2011,LINDA SHPK,Ferizaj,9-Sep-11,Not Provided,9937,Not Provided,9937,N/A,Not Applicable
92,KACANIK,Services,Unknown,KA652/11/44/236,Riparimi dhe servisimin e instrumenteve gjeodezike,2011,DWH KOSOVA SHPK,Prishtine,9-Sep-11,Not Provided,4230.93,Not Provided,4230.93,N/A,Not Applicable
93,KACANIK,Supply,Unknown,KA652/11/31/121,Furnizim me lende djegese thengjill per shkollat,2011,AJRONI COM NTP,Prishtine,22-Sep-11,Not Provided,6583.5,Not Provided,6583.5,N/A,Not Applicable
94,KACANIK,Jobs,Unknown,KA652/11/38/521,Punimi I murit rrethues te varrezate deshmoreve,2011,P & I NNSH,Ferizaj,22-Sep-11,Not Provided,33771.6,Not Provided,33771.6,N/A,Not Applicable
95,KACANIK,Jobs,Unknown,KA652/11/39/521,Asfaltimi I rruges ne fshatin Kovaqec,2011,EUROTRANS NNT,Kacanik,22-Sep-11,Not Provided,244916.62,Not Provided,244916.62,N/A,Not Applicable
96,KACANIK,Jobs,Unknown,KA652/11/41/521,Sinjalizimi horizontal dhe vertikal dhe sanimi I disa segmenteve te rrjetit te ndriqimit publik ne Kacanik,2011,KROSA NSH,Ferizaj,23-Sep-11,Not Provided,15202.97,Not Provided,15202.97,N/A,Not Applicable
97,FERIZAJ,Supply,2,136,"Furnizim me material per instalimin e rrjetit kompjuterik si dhe furnizimin me antena, te cilat do ta bejne shperndarjen e rrjetit qeveritar, ne objektit e Shtepise se Kultures ne Ferizaj",2011,ELEKTRO AM NTSH,Ferizaj,29-Sep-11,0,1824.4,0,1824.4,N/A,Not Applicable
98,KACANIK,Supply,Unknown,KA652/11/37/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te venditÓ,dhe shkurtimi i tyre _ Kacanik",2011,PATI NSHT,Kacanik,30-Sep-11,Not Provided,44500.5,Not Provided,44500.5,N/A,Not Applicable
99,KACANIK,Supply,Unknown,KA652/11/35/136,Furnizim me inventar (mobilr) per zyren e Kryetarit,2011,AHISHTA DPZ,Kacanik,19-Oct-11,Not Provided,2653,Not Provided,2653,N/A,Not Applicable
100,KACANIK,Services,Unknown,KA652/11/45/521,Largimi I mbeturinave nga deponit ilegale dhe pastrimi I perrockave,2011,ANRA SHPK,Prishtine,24-Oct-11,Not Provided,52805,Not Provided,52805,N/A,Not Applicable
101,KACANIK,Services,Unknown,KA652/11/057/236,Transparenca Komunale per Planifikim Vjetor,2011,RADIO KA‚ANIKU,Kacanik,1-Nov-11,Not Provided,7000,Not Provided,7000,N/A,Not Applicable
102,KACANIK,Jobs,Unknown,KA652/11/058/525,Dislokimi I pajisjeve te VK dhe ndertimi I vendkalimit ne drejtim mwe shina S-49 L=12x2,2011,INFRAKOS  SHA,Fushe Kosove,1-Nov-11,Not Provided,32019.4,Not Provided,32019.4,N/A,Not Applicable
103,KACANIK,Jobs,Unknown,KA652/11/050/521,"Rregullimi I ambientit, rrethojat, gjelberimi dhe disa renovime te mbrendshme ne objektet e QKMF-se",2011,ANRA SHPK,Prishtine,2-Nov-11,Not Provided,25213.75,Not Provided,25213.75,N/A,Not Applicable
104,KACANIK,Services,Unknown,KA652/11/051/236,Hartimi I planit rregullues urbanper zonen e I-re Urbanistike ne qytetin e Kacanikut,2011,INS PRISHTINè SHPK,Prishtine,3-Nov-11,Not Provided,9990,Not Provided,9990,N/A,Not Applicable
105,KACANIK,Supply,Unknown,KA652/11/048/136,"ÒFurnizim me Tonera per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe ShendetsineÓ.",2011,BESS TONERS NTSH,Gjilan,4-Nov-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
106,KACANIK,Jobs,Unknown,KA652/11/53/536,"Rregullimi I klaseve ne Sh. F. ""Emin Duraku"" - Kacanik",2011,MURSELI COMPANY SHPK,Kacanik,4-Nov-11,Not Provided,9264.5,Not Provided,9264.5,N/A,Not Applicable
107,KACANIK,Supply,Unknown,KA652/11/054/136,"ÒFurnizim me materijal higjenik per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe ShendetsineÓ.",2011,LATI NTP,Kacanik,4-Nov-11,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
